STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-14,0,80,86.0,74
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-14,0,79,82.0,77
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-14,0,82,89.0,75
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-14,2,60,67.0,57
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-14,0,78,87.0,57
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-15,0,81,87.0,72
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-15,0,80,87.0,77
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-15,0,81,87.0,75
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-15,0,60,89.0,55
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-15,0,77,89.0,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-16,0,82,89.0,74
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-16,0,80,83.0,77
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-16,0,82,92.0,76
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-16,0,57,64.0,76
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-16,0,78,89.0,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-17,0,80,89.0,72
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-17,0,78,89.0,72
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-17,0,79,89.0,74
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-17,0,52,83.0,74
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-17,0,73,83.0,73
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-18,0,79,83.0,73
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-18,0,79,88.0,74
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-18,0,56,71.0,42
